Time (s),SMU 1 V,SMU 1 I,SMU 1 R,SMU 2 V,SMU 2 I,SMU 2 R
27.181267,-6.17981e-05,8.70228e-11,-710137,0.0999619,3.80731e-08,2.62553e+06
27.291313,-6.39439e-05,7.15256e-11,-894000,0.0999605,3.84188e-08,2.60187e+06
27.401359,-6.23941e-05,9.53674e-11,-654250,0.0999624,3.87585e-08,2.57911e+06
27.511405,5.99972,8.10623e-11,7.40136e+10,0.0999639,2.25682e-07,442941
27.621451,5.99952,8.10623e-11,7.40112e+10,0.0999636,2.13542e-07,468122
27.731496,5.99944,7.7486e-11,7.7426e+10,0.0999621,2.08054e-07,480463
27.841541,5.99941,7.98702e-11,7.51145e+10,0.0999599,2.04397e-07,489046
27.951587,-8.63552e-05,6.67572e-11,-1.29357e+06,0.0999603,2.87819e-08,3.47303e+06
28.061632,-6.78539e-05,8.9407e-11,-758933,0.0999573,3.25894e-08,3.06717e+06
28.171678,-5.92232e-05,7.15256e-11,-828000,0.0999577,3.41332e-08,2.92846e+06
28.281723,-5.88655e-05,9.17912e-11,-641299,0.0999554,3.51238e-08,2.8458e+06
28.391768,-5.86987e-05,7.03335e-11,-834576,0.0999562,3.59857e-08,2.77766e+06
28.501814,-5.7745e-05,9.05991e-11,-637368,0.0999566,3.64828e-08,2.73983e+06
28.611860,-5.75542e-05,7.15256e-11,-804667,0.0999569,3.70193e-08,2.70013e+06
28.721906,-6.07729e-05,9.17912e-11,-662078,0.0999589,3.74973e-08,2.66576e+06
28.831952,-5.97239e-05,7.15256e-11,-835000,0.0999597,3.78156e-08,2.64335e+06
28.941997,-6.07491e-05,8.58307e-11,-707778,0.0999596,3.82137e-08,2.6158e+06
29.052043,5.99973,7.62939e-11,7.86396e+10,0.0999584,2.23869e-07,446504
29.162088,5.99953,8.10623e-11,7.40114e+10,0.0999597,2.12066e-07,471361
29.272133,5.99945,7.51018e-11,7.98842e+10,0.0999593,2.06488e-07,484091
29.382179,5.99945,7.86781e-11,7.6253e+10,0.0999568,2.0268e-07,493176
29.492224,-7.94888e-05,6.19888e-11,-1.28231e+06,0.0999574,2.85351e-08,3.50296e+06
29.602270,-6.42538e-05,8.9407e-11,-718667,0.0999593,3.22604e-08,3.09851e+06
29.712315,-5.64575e-05,6.91414e-11,-816552,0.0999618,3.38805e-08,2.95043e+06
29.822361,-5.94378e-05,7.98702e-11,-744179,0.0999622,3.49295e-08,2.86183e+06
29.932406,-5.99623e-05,6.67572e-11,-898214,0.0999642,3.5646e-08,2.80436e+06
30.042452,-5.94378e-05,8.46386e-11,-702254,0.0999633,3.61931e-08,2.76194e+06
30.152497,-6.03199e-05,6.91414e-11,-872414,0.0999653,3.66366e-08,2.72856e+06
30.262543,-5.9247e-05,8.34465e-11,-710000,0.0999629,3.71134e-08,2.69344e+06
30.372588,-5.6982e-05,7.51018e-11,-758730,0.099962,3.74925e-08,2.66619e+06
30.482634,-5.60999e-05,8.9407e-11,-627467,0.0999623,3.78227e-08,2.64292e+06
30.592680,5.99978,7.7486e-11,7.74304e+10,0.0999623,2.23935e-07,446391
30.702726,5.99959,8.10623e-11,7.40121e+10,0.0999625,2.11577e-07,472463
30.812771,5.99948,7.15256e-11,8.38788e+10,0.0999648,2.06517e-07,484051
30.922817,5.99946,7.86781e-11,7.62532e+10,0.099964,2.02802e-07,492913
31.032863,-7.87497e-05,6.31809e-11,-1.24642e+06,0.0999631,2.82991e-08,3.53238e+06
31.142909,-6.12736e-05,8.82149e-11,-694595,0.0999637,3.19457e-08,3.12917e+06
31.252955,-5.3668e-05,7.98702e-11,-671940,0.0999629,3.34692e-08,2.98671e+06
31.363001,-5.3668e-05,8.70228e-11,-616712,0.0999619,3.45659e-08,2.89192e+06
31.473047,-5.24521e-05,8.46386e-11,-619718,0.0999605,3.53646e-08,2.82657e+06
31.583093,-5.22375e-05,8.70228e-11,-600274,0.0999596,3.5944e-08,2.78098e+06
31.693139,-4.97818e-05,8.34465e-11,-596571,0.0999568,3.64292e-08,2.74387e+06
31.803185,-5.19991e-05,8.46386e-11,-614366,0.0999554,3.68607e-08,2.71171e+06
31.913230,-5.17607e-05,7.86781e-11,-657879,0.0999543,3.71766e-08,2.68864e+06
32.023276,-5.31197e-05,8.58307e-11,-618889,0.0999553,3.75485e-08,2.66203e+06
